Rep Code,Route,Customer Code,Customer Name,SalesX,Sale,Lgsale,GP,GPX,Loggp,GppeX,Gpperc,Month
ANA,PMB,HAM-05,HAMBLINS CATERING,22572,22572.000000000004,10.02446547908903,4801.550000000001,4801.55,8.476694061436284,0.21272151337940812,0.2127215133794081,June
SHIR,DBN CBD,HAV-01,HAVANA GRILL,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
RAJEN,Local,HEA-01,HEALTH BAR RETAIL (MY CHEF),21319,21318.999999999996,9.967353972864542,3447.8599999999997,3447.86,8.14550902771099,0.16172709789389747,0.16172709789389747,June
RAJEN,Collection,HEA-06,HEALTH BAR RETAIL -BLUE STRAWBERRY / CK,9268,9268.000000000004,9.134322885552267,2161.15,2161.15,7.678395766407079,0.23318407423392318,0.2331840742339232,June
RAJEN,Balito,HEA-03,HEALTH BAR RETAIL -EATFRESH CANELANDS,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
RAJEN,Collection,HEA-08,HEALTH BAR RETAIL -KOFI LION MATCH,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
RAJEN,Upper Highway,HEA-05,HEALTH BAR RETAIL -TETRAPAK,2046,2045.9999999999993,7.6236419465115715,384.3699999999999,384.37,5.951605630346094,0.18786412512218964,0.18786412512218964,June
RAJEN,Upper Highway,HEA-07,HEALTHBAR RETAIL EATFRESH WESTVILLE BOYS,6832,6831.999999999998,8.829372735468406,1315.3099999999997,1315.31,7.181827658274083,0.19252195550351286,0.1925219555035129,June
RAJEN,Local,HER-01,HERMES SHIP CHANDLERS (PTY) LTD,22122,22122.000000000007,10.0043278674622,3568.1899999999996,3568.19,8.179813743403185,0.16129599493716662,0.16129599493716662,June
SHIR,South Coast,HIB-01,HIBBERDENE SERVICE STATION,948,947.9999999999997,6.854354502255021,164.64999999999998,164.65,5.103822008822373,0.17368143459915614,0.1736814345991561,June
SHIR,Umhlanga,HIN-01,HINGHAM NURSERY TEA GARDEN,5497,5497.000000000002,8.61195776786066,1054.4700000000003,1054.47,6.960793550012001,0.19182645079134072,0.19182645079134072,June
KAM,Collection,HIL-03,HISTRACH INVESTMENTS -HILLCREST KWIKSPAR,0,2.718281828459045,1.0,1.0,0,0.0,-,0.0,June
JUS,Collection,SPA-06,HISTRACH INVESTMENTS T/A HILLCREST SPAR,1643,1642.9999999999995,7.404279118037268,321.8800000000001,321.88,5.774178805277932,0.19590992087644551,0.19590992087644551,June
SHIR,Umhlanga,HOL-04,HOLLYWOOD SPORTBOOK KZN -  HUTS CANTEEN,27455,27454.999999999978,10.220303579712972,4312.310000000002,4312.31,8.36922900239802,0.1570682935712985,0.1570682935712985,June
SHIR,Umhlanga,HOL-03,HOLLYWOOD SPORTBOOKKZN (PTY)LTD,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
SHIR,Local,HOL-02,HOLLYWOOD SPORTSBOOK KZN (PTY)LTD - ARG,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
SHIR,Umhlanga,HOL-01,HOLLYWOOD SPORTSBOOK KZN (PTY)LTD- PARK,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
ANA,PMB,HOM-01,HOME SLICE CAFE,478,478.0000000000002,6.169610732491456,51.759999999999984,51.76,3.946617650192645,0.10828451882845187,0.10828451882845186,June
SHIR,Balito,HOP-01,HOPS AND BARLEY BALLITO,24591,24591.000000000007,10.11013580132114,3732.5400000000013,3732.54,8.224844246033753,0.15178479931682323,0.15178479931682323,June
SHIR,Local,BUT-03,HOT SHOT T/A BUTCHER BOYS FLORIDA,2100,2100.0,7.649692623711514,419.99999999999994,420,6.040254711277414,0.2,0.2,June
SHIR,DBN CBD,EDW-01,HPF PROPERTIES (PTY) LTD - EDWARD HOTEL,3487,3486.9999999999995,8.156797046675651,485.83,485.83,6.185858768469536,0.13932606825351304,0.13932606825351304,June
KAM,Richards Bay,DRO-01,HS TUZI GAZI (PTY) LTD T/A DROS,7628,7628.000000000005,8.93958096672031,1725.3900000000008,1725.39,7.453208390868178,0.22619166229680127,0.22619166229680127,June
SHIR,Local,HUM-01,HUMBLE COFFEE,19141,19140.999999999985,9.859587910246109,3571.0800000000027,3571.08,8.180623350031835,0.18656705501279974,0.18656705501279977,June
SHIR,Upper Highway,DEE-01,HUYSKOS (PTY) T/A DEEGHUYS HILLCREST,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
SHIR,DBN CBD,ICC-01,I.C.C DURBAN (PTY) LTD,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
SHIR,Balito,ZIM-02,IFA ZIMBALI LODGE (PTY) LTD,3066,3065.9999999999986,8.028129059431759,485.9700000000001,485.97,6.1861468936001565,0.15850293542074365,0.15850293542074365,June
